#datatype measurement,tag,string,dateTime:RFC3339,double,double,double,double,double
name,id,LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std
energy,199,MAC000131,2012-06-30T00:00:00Z,0.1295,0.1476041666666666,0.8390000000000001,48,0.1159313332314551
energy,200,MAC000131,2012-07-01T00:00:00Z,0.115,0.1308541666666666,0.342,48,0.0600538728296849
energy,201,MAC000131,2012-07-02T00:00:00Z,0.111,0.1550208333333333,0.659,48,0.139490027033634
energy,202,MAC000131,2012-07-03T00:00:00Z,0.1075,0.1724791666666666,0.904,48,0.1820274692367544
energy,203,MAC000131,2012-07-04T00:00:00Z,0.1105,0.1237083333333333,0.295,48,0.0595768619706468
energy,204,MAC000131,2012-07-05T00:00:00Z,0.11,0.1267083333333333,0.307,48,0.0699747548195543
energy,205,MAC000131,2012-07-06T00:00:00Z,0.114,0.1269791666666667,0.302,48,0.0628820204264128
energy,206,MAC000131,2012-07-07T00:00:00Z,0.1119999999999999,0.1244166666666666,0.263,48,0.0604429864411833
energy,207,MAC000131,2012-07-08T00:00:00Z,0.114,0.1441041666666666,0.847,48,0.1161662857274704
energy,208,MAC000131,2012-07-09T00:00:00Z,0.1315,0.1572916666666667,0.841,48,0.1357829867971171
energy,209,MAC000131,2012-07-10T00:00:00Z,0.108,0.1523749999999999,0.877,48,0.1592185203864253
energy,210,MAC000131,2012-07-11T00:00:00Z,0.118,0.1579166666666667,0.68,48,0.1523742360158647
energy,211,MAC000131,2012-07-12T00:00:00Z,0.1015,0.1532708333333333,0.78,48,0.1642777538433047
energy,212,MAC000131,2012-07-13T00:00:00Z,0.1035,0.1473541666666666,0.7290000000000001,48,0.1494551081227123
energy,213,MAC000131,2012-07-14T00:00:00Z,0.1065,0.1674791666666666,0.735,48,0.1707809334097693
energy,214,MAC000131,2012-07-15T00:00:00Z,0.108,0.1316249999999999,0.288,48,0.0713312992684077
energy,215,MAC000131,2012-07-16T00:00:00Z,0.1265,0.1531666666666666,0.631,48,0.1231845758052202
energy,216,MAC000131,2012-07-17T00:00:00Z,0.1115,0.1842083333333333,0.866,48,0.1785890276028789
energy,217,MAC000131,2012-07-18T00:00:00Z,0.1405,0.172875,0.735,48,0.1578424510760718
energy,218,MAC000131,2012-07-19T00:00:00Z,0.107,0.1731458333333333,0.7759999999999999,48,0.1809831295280277
energy,219,MAC000131,2012-07-20T00:00:00Z,0.108,0.1117708333333333,0.295,48,0.0525904447203722
energy,220,MAC000131,2012-07-21T00:00:00Z,0.0925,0.1123125,0.317,48,0.0615723605614271
energy,221,MAC000131,2012-07-22T00:00:00Z,0.107,0.1215833333333333,0.291,48,0.0624362937732681
energy,222,MAC000131,2012-07-23T00:00:00Z,0.121,0.1259166666666666,0.28,48,0.0555229809938165
energy,223,MAC000131,2012-07-24T00:00:00Z,0.114,0.1252291666666666,0.259,48,0.0590723464061575
energy,224,MAC000131,2012-07-25T00:00:00Z,0.1325,0.1491458333333333,0.885,48,0.1205859787875101
energy,225,MAC000131,2012-07-26T00:00:00Z,0.124,0.1206875,0.225,48,0.0478366708129661
energy,226,MAC000131,2012-07-27T00:00:00Z,0.1285,0.1275,0.308,48,0.0594807317272451
energy,227,MAC000131,2012-07-28T00:00:00Z,0.122,0.1576875,0.584,48,0.1223810158150147
energy,228,MAC000131,2012-07-29T00:00:00Z,0.1155,0.1457708333333333,0.636,48,0.1006528137631517
energy,229,MAC000131,2012-07-30T00:00:00Z,0.1205,0.1258541666666666,0.339,48,0.057779105986961
energy,230,MAC000131,2012-07-31T00:00:00Z,0.114,0.1160416666666667,0.304,48,0.0550423273619351
energy,231,MAC000131,2012-08-01T00:00:00Z,0.116,0.1226249999999999,0.256,48,0.0535309117299369
energy,232,MAC000131,2012-08-02T00:00:00Z,0.0675,0.0936666666666666,0.244,48,0.0428353271054039
energy,233,MAC000131,2012-08-03T00:00:00Z,0.107,0.1200416666666666,0.31,48,0.0648992536210346
energy,234,MAC000131,2012-08-04T00:00:00Z,0.1125,0.136375,0.802,48,0.1110950570553328
energy,235,MAC000131,2012-08-05T00:00:00Z,0.107,0.125125,0.309,48,0.0640224777681594
energy,236,MAC000131,2012-08-06T00:00:00Z,0.133,0.1732708333333333,0.637,48,0.1597182012547622
energy,237,MAC000131,2012-08-07T00:00:00Z,0.0845,0.1649375,0.747,48,0.172131741512628
energy,238,MAC000131,2012-08-08T00:00:00Z,0.111,0.1211875,0.314,48,0.0565398207442085
energy,239,MAC000131,2012-08-09T00:00:00Z,0.1285,0.1260833333333333,0.285,48,0.0570978381426773
energy,240,MAC000131,2012-08-10T00:00:00Z,0.1585,0.1436666666666666,0.279,48,0.0606817064983022
energy,241,MAC000131,2012-08-11T00:00:00Z,0.159,0.1733333333333333,0.542,48,0.0932375902034708
energy,242,MAC000131,2012-08-12T00:00:00Z,0.123,0.1338958333333333,0.408,48,0.0681366710348862
energy,243,MAC000131,2012-08-13T00:00:00Z,0.113,0.1296458333333333,0.333,48,0.0657864014866854
energy,244,MAC000131,2012-08-14T00:00:00Z,0.116,0.1291874999999999,0.292,48,0.0635849762296696
energy,245,MAC000131,2012-08-15T00:00:00Z,0.1065,0.1220416666666667,0.357,48,0.063765847703401
energy,246,MAC000131,2012-08-16T00:00:00Z,0.1009999999999999,0.1233124999999999,0.257,48,0.0623402319636091
energy,247,MAC000131,2012-08-17T00:00:00Z,0.1045,0.1359791666666666,0.8,48,0.1178106106523071
energy,248,MAC000131,2012-08-18T00:00:00Z,0.107,0.1318541666666666,0.665,48,0.1039895636300664
energy,249,MAC000131,2012-08-19T00:00:00Z,0.1325,0.1303333333333333,0.298,48,0.0575275450520558
