#datatype measurement,tag,dateTime:RFC3339,string,double,double,double,double,double,double,double
name,LCLid,day,day_2,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-11T00:00:00Z,0.1095,0.21804166666666666,0.716,48,0.21975885800977146,10466,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-12T00:00:00Z,0.1185,0.2157083333333334,0.698,48,0.2160495371026504,10354000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-13T00:00:00Z,0.07950000000000003,0.1934583333333333,0.779,48,0.22261855157094632,9286,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-14T00:00:00Z,0.096,0.18556250000000007,0.928,48,0.20704639281232534,8907000000000000,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-15T00:00:00Z,0.08250000000000003,0.17193750000000005,0.7559999999999999,48,0.1931651708892699,8253000000000000,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-16T00:00:00Z,0.1205,0.22875,0.706,48,0.22543938186043944,36069,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-17T00:00:00Z,0.081,0.16135416666666666,0.687,48,0.16103963957418804,7744999999999990,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-18T00:00:00Z,0.5785,0.4331458333333335,0.711,48,0.22978306046331295,20791000000000000,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-19T00:00:00Z,0.1315,0.23887500000000006,0.755,48,0.22528191558436664,11466,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-20T00:00:00Z,0.11,0.2277291666666667,0.698,48,0.22865189928382246,10931,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-21T00:00:00Z,0.1285,0.2773125,0.79,48,0.26167091206972976,13311,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-22T00:00:00Z,0.115,0.21822916666666667,0.746,48,0.23120040487921306,10475,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-23T00:00:00Z,0.0955,0.16120833333333334,0.627,48,0.16340707012664993,7738000000000000,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-24T00:00:00Z,0.11199999999999999,0.11304166666666665,0.238,48,0.04690141690611722,5425999999999990,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-25T00:00:00Z,0.131,0.1676041666666667,0.958,48,0.15835252076722156,8045000000000000,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-26T00:00:00Z,0.11150000000000003,0.1950833333333333,0.821,48,0.20518977550460746,9364,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-27T00:00:00Z,0.0775,0.16047916666666664,0.6970000000000001,48,0.16768321064198904,77029999999999900,0.06
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-28T00:00:00Z,0.115,0.181125,0.7829999999999999,48,0.1896126650990314,8693999999999990,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-29T00:00:00Z,0.0955,0.157125,0.933,48,0.17618566428024826,7542000000000000,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-30T00:00:00Z,0.08549999999999999,0.1746041666666667,0.732,48,0.19035898221499575,8381000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-31T00:00:00Z,0.1065,0.14,0.805,48,0.12624124153314473,26451,0.063
